カテゴリ,ファイル名,主要機能,詳細説明,技術要素,関連モデル,処理フロー,入出力,ビジネスロジック,エラーハンドリング,パフォーマンス考慮
コアシステム・アプリケーション基盤,app.py,Flaskアプリケーション設定・データベース初期化,Flask WebアプリケーションのメインエントリーポイントでSQLAlchemyデータベース接続・セッション管理・CORS設定・文字列正規化処理を実装,Flask + SQLAlchemy + PostgreSQL,全モデル,1.環境変数読み込み→2.Flaskアプリ初期化→3.データベース接続設定→4.イベントリスナー登録→5.セッション設定→6.アプリケーション起動,入力：環境変数 / 出力：初期化済みFlaskアプリケーション,アプリケーション全体の設定管理・データベース接続管理・セッション管理・セキュリティ設定,データベース接続エラー・環境変数未設定・セッション暗号化エラーのハンドリング,接続プール最適化・セッション管理効率化・メモリ使用量最適化
コアシステム・アプリケーション基盤,main.py,アプリケーションエントリーポイント,Gunicornサーバー起動時に実行されるメインファイル・app.pyからFlaskインスタンスをインポートしてWebサーバーを起動,Gunicorn + Flask,なし,1.app.pyインポート→2.Flaskアプリケーション取得→3.Gunicornワーカープロセス起動,入力：Gunicorn起動コマンド / 出力：起動済みWebアプリケーション,本番環境でのWebアプリケーション起動・WSGIサーバーとの連携,インポートエラー・アプリケーション初期化失敗・ポート競合エラーのハンドリング,最小限のオーバーヘッド・高速起動・メモリ効率
コアシステム・アプリケーション基盤,models.py,データベースモデル定義,全データベーステーブルのSQLAlchemyモデル定義・JA情報・CSV財務データ・標準勘定科目・マッピング・残高・分析結果・計算式テーブルを含む,SQLAlchemy ORM + PostgreSQL,JA・CSVData・StandardAccount・AccountMapping・StandardAccountBalance・AnalysisResult・AccountFormula,1.モデルクラス定義→2.テーブル構造定義→3.リレーションシップ設定→4.制約条件設定→5.インデックス作成,入力：Pythonクラス定義 / 出力：データベーステーブル構造・ORMオブジェクト,データベース設計・テーブル関係定義・データ整合性保証・ビジネスルール実装,外部キー制約違反・一意制約違反・データ型エラー・NULL制約エラーのハンドリング,インデックス最適化・クエリ性能向上・メモリ効率的なリレーションシップ
コアシステム・アプリケーション基盤,routes.py,Webルーティング・画面表示制御,Flask Webルーティング定義・メインダッシュボード・勘定科目残高一覧・財務分析画面・JA比較分析・データ管理画面・CSVアップロード処理を含む全画面制御,Flask Routing + Jinja2 Templates,JA・CSVData・StandardAccountBalance,1.HTTPリクエスト受信→2.ルート判定→3.認証チェック→4.ビジネスロジック実行→5.テンプレートレンダリング→6.HTTPレスポンス返却,入力：HTTPリクエスト・フォームデータ / 出力：HTMLレスポンス・リダイレクト・JSONデータ,画面表示制御・ユーザー操作処理・データ表示・フォーム処理・ファイルアップロード,404エラー・500エラー・ファイルアップロードエラー・セッションタイムアウトのハンドリング,テンプレートキャッシュ・静的ファイル最適化・レスポンス圧縮
財務分析・計算エンジン,financial_indicators.py,財務指標計算エンジン,5カテゴリの財務指標計算エンジン・流動性指標・収益性指標・安全性指標・効率性指標・キャッシュフロー指標・前年度比較・リスクスコア算出機能,Python数値計算 + 財務分析理論,StandardAccountBalance・AnalysisResult,1.残高データ取得→2.指標別計算実行→3.前年度データ取得→4.比較分析→5.リスクスコア算出→6.結果保存,入力：JAコード・年度・財務諸表データ / 出力：計算済み財務指標・リスクスコア・比較分析結果,財務理論に基づく指標計算・業界標準との比較・リスク評価・トレンド分析,ゼロ除算エラー・データ不足・計算オーバーフロー・精度誤差のハンドリング,計算処理最適化・メモリ効率的な数値処理・並列計算・キャッシュ活用
財務分析・計算エンジン,risk_analyzer.py,リスクスコア算出・評価分析,カテゴリ別リスクレベル評価・総合リスクスコア計算・業界ベンチマークとの比較・リスク要因特定・改善提案生成・レーダーチャート用データ作成機能,統計分析 + リスク評価理論,AnalysisResult・StandardAccountBalance,1.財務指標データ取得→2.リスクスコア計算→3.カテゴリ別評価→4.総合リスク判定→5.ベンチマーク比較→6.改善提案生成,入力：財務指標データ・業界ベンチマーク / 出力：リスクスコア・評価レポート・改善提案,リスク評価モデル・統計的分析・異常検知・傾向分析・予測分析・意思決定支援,データ不整合・計算エラー・モデル精度低下・異常値処理のハンドリング,高速リスク計算・リアルタイム分析・メモリ効率的な統計処理
財務分析・計算エンジン,account_calculator.py,勘定科目合計値計算,勘定科目の合計値計算エンジン・資産の部合計・負債の部合計・純資産の部合計計算・計算式定義管理・優先度付き計算順序制御機能,計算式エンジン + 勘定体系理論,StandardAccountBalance・AccountFormula,1.計算式定義読み込み→2.依存関係分析→3.計算順序決定→4.階層計算実行→5.合計値算出→6.結果検証,入力：勘定科目残高データ・計算式定義 / 出力：計算済み合計値・階層構造データ,勘定体系に基づく計算・階層構造処理・依存関係管理・計算精度保証,計算式エラー・循環参照・依存関係エラー・計算精度エラーのハンドリング,効率的な階層計算・メモリ最適化・計算キャッシュ
データ処理・インポート,data_processor.py,CSVデータ処理・インポート,CSV財務データの読み込み・データ形式検証・欠損データ処理・データ型変換・エラーレポート生成・JA財務データのインポート処理・データ品質チェック機能,Pandas + CSV処理 + データ検証,CSVData・JA,1.CSVファイル読み込み→2.エンコーディング検出→3.データ形式検証→4.データ変換→5.品質チェック→6.データベース保存,入力：CSVファイル・インポート設定 / 出力：インポート済みデータ・エラーレポート,データ品質管理・形式標準化・重複除去・欠損値処理・データ変換・整合性チェック,ファイル読み込みエラー・エンコーディングエラー・データ形式エラーのハンドリング,大容量ファイル対応・メモリ効率的な処理・並列処理
データ処理・インポート,create_account_balances.py,標準勘定科目残高データ作成,指定JA・年度の標準勘定科目残高データ生成・財務諸表タイプ別処理・データ整合性チェック・残高データの自動作成機能,データ生成ロジック + 財務諸表理論,StandardAccountBalance・CSVData・StandardAccount,1.対象データ特定→2.マッピング情報取得→3.残高データ生成→4.計算式適用→5.整合性チェック→6.データ保存,入力：JAコード・年度・財務諸表タイプ / 出力：標準勘定科目残高データ・整合性レポート,財務諸表構造に基づくデータ生成・自動マッピング適用・データ補完・整合性保証,データ不整合・マッピング不備・計算エラー・重複データのハンドリング,効率的なデータ生成・バッチ処理・メモリ最適化
データ処理・インポート,import_all_standard_accounts.py,全標準勘定科目インポート,BS・PL・CF全ての標準勘定科目を一括インポート・勘定科目体系の完全構築・階層関係設定・表示順序管理機能,勘定科目管理 + 一括処理,StandardAccount,1.全科目定義読み込み→2.体系構造確認→3.階層関係設定→4.一括インポート実行→5.整合性検証→6.完了確認,入力：標準勘定科目定義・体系設定 / 出力：インポート済み勘定科目・体系構造,勘定科目体系の完全構築・階層管理・表示制御・体系統一,インポートエラー・体系不整合・階層エラー・重複エラーのハンドリング,高速一括インポート・効率的な体系構築・メモリ最適化
データ処理・インポート,import_bs_standard_accounts.py,BS標準勘定科目インポート,貸借対照表の標準勘定科目をインポート・資産・負債・純資産の勘定科目設定・BS構造の構築機能,BS構造管理 + インポート処理,StandardAccount,1.BS科目定義読み込み→2.資産負債純資産分類→3.階層構造設定→4.BSインポート実行→5.構造検証→6.完了確認,入力：BS勘定科目定義 / 出力：BS標準勘定科目・構造データ,貸借対照表構造の構築・資産負債純資産管理・財務諸表理論の実装,BS構造エラー・分類エラー・階層不整合のハンドリング,高速BSインポート・効率的な構造構築・分類最適化
データ処理・インポート,import_cf_accounts.py,CF勘定科目インポート,キャッシュフロー計算書の勘定科目をインポート・営業・投資・財務活動の分類・CF構造の構築機能,CF構造管理 + インポート処理,StandardAccount,1.CF科目定義読み込み→2.活動別分類→3.CF構造設定→4.CFインポート実行→5.構造検証→6.完了確認,入力：CF勘定科目定義 / 出力：CF標準勘定科目・活動分類データ,キャッシュフロー構造の構築・活動分類管理・CF理論の実装,CF構造エラー・活動分類エラー・構造不整合のハンドリング,高速CFインポート・効率的な活動分類・構造最適化
データ処理・インポート,import_cf_accounts_new.py,新CF勘定科目インポート,最新のキャッシュフロー勘定科目体系をインポート・改良されたCF構造・新基準対応・拡張CF分類機能,新CF体系 + 改良インポート,StandardAccount,1.新CF定義読み込み→2.新体系分析→3.改良構造設定→4.新CFインポート→5.新基準検証→6.完了確認,入力：新CF勘定科目定義 / 出力：新CF標準勘定科目・改良構造データ,新CF基準の実装・改良されたCF構造・拡張分類管理,新体系エラー・改良構造エラー・新基準不整合のハンドリング,最新CF対応・効率的な新体系構築・改良最適化
データ処理・インポート,import_cf_only.py,CF専用インポート,キャッシュフローデータのみを専用インポート・CF特化処理・高速CF取り込み・CF専用最適化機能,CF専用処理 + 最適化,StandardAccount・CSVData,1.CFデータ抽出→2.CF専用検証→3.最適化処理→4.CF専用インポート→5.CF検証→6.完了確認,入力：CFデータ / 出力：CF専用インポート結果・最適化レポート,CF特化ビジネスロジック・専用最適化・高速CF処理,CF専用エラー・最適化失敗・CF特化問題のハンドリング,CF専用最適化・高速CF処理・メモリ効率化
データ処理・インポート,import_cf_standard_accounts.py,CF標準勘定科目インポート,標準的なキャッシュフロー勘定科目をインポート・標準CF体系・基本CF構造・標準分類管理機能,標準CF体系 + インポート,StandardAccount,1.標準CF定義読み込み→2.標準体系確認→3.基本構造設定→4.標準CFインポート→5.標準検証→6.完了確認,入力：標準CF勘定科目定義 / 出力：標準CF勘定科目・基本構造データ,標準CF体系の実装・基本構造管理・標準分類制御,標準体系エラー・基本構造エラー・標準化問題のハンドリング,標準CF最適化・効率的な基本構築・標準化促進
データ処理・インポート,import_pl_cf_updated.py,更新PL・CFインポート,最新のPL・CFデータを更新インポート・改良されたPL・CF構造・最新基準対応・統合インポート機能,更新PL・CF + 統合処理,StandardAccount・CSVData,1.更新PL・CF読み込み→2.最新構造分析→3.統合設定→4.更新インポート→5.統合検証→6.完了確認,入力：更新PL・CFデータ / 出力：最新PL・CF勘定科目・統合構造データ,最新PL・CF基準の実装・統合管理・改良構造制御,更新エラー・統合失敗・最新基準不整合のハンドリング,最新基準対応・効率的な統合処理・更新最適化
データ処理・インポート,import_pl_only.py,PL専用インポート,損益計算書データのみを専用インポート・PL特化処理・高速PL取り込み・PL専用最適化機能,PL専用処理 + 最適化,StandardAccount・CSVData,1.PLデータ抽出→2.PL専用検証→3.最適化処理→4.PL専用インポート→5.PL検証→6.完了確認,入力：PLデータ / 出力：PL専用インポート結果・最適化レポート,PL特化ビジネスロジック・専用最適化・高速PL処理,PL専用エラー・最適化失敗・PL特化問題のハンドリング,PL専用最適化・高速PL処理・メモリ効率化
データ処理・インポート,import_standard_accounts.py,標準勘定科目インポート,標準勘定科目マスタの基本インポート・勘定科目体系の基礎構築・基本階層設定・標準化処理機能,標準勘定科目管理 + 基本インポート,StandardAccount,1.標準科目定義読み込み→2.基本体系確認→3.階層設定→4.標準インポート→5.体系検証→6.完了確認,入力：標準勘定科目定義 / 出力：標準勘定科目・基本体系データ,標準勘定科目体系の基礎構築・標準化管理・基本階層制御,標準化エラー・体系不整合・階層問題のハンドリング,標準化最適化・効率的な基本構築・体系統一
