カテゴリ,ファイル名,主要機能,詳細説明,技術要素,関連モデル,処理フロー,入出力,ビジネスロジック,エラーハンドリング,パフォーマンス考慮
コアシステム・アプリケーション基盤,app.py,Flaskアプリケーション設定・データベース初期化,Flask WebアプリケーションのメインエントリーポイントでSQLAlchemyデータベース接続・セッション管理・CORS設定・文字列正規化処理を実装,Flask + SQLAlchemy + PostgreSQL,全モデル,1.環境変数読み込み→2.Flaskアプリ初期化→3.データベース接続設定→4.イベントリスナー登録→5.セッション設定→6.アプリケーション起動,入力：環境変数 / 出力：初期化済みFlaskアプリケーション,アプリケーション全体の設定管理・データベース接続管理・セッション管理・セキュリティ設定,データベース接続エラー・環境変数未設定・セッション暗号化エラーのハンドリング,接続プール最適化・セッション管理効率化・メモリ使用量最適化
コアシステム・アプリケーション基盤,main.py,アプリケーションエントリーポイント,Gunicornサーバー起動時に実行されるメインファイル・app.pyからFlaskインスタンスをインポートしてWebサーバーを起動,Gunicorn + Flask,なし,1.app.pyインポート→2.Flaskアプリケーション取得→3.Gunicornワーカープロセス起動,入力：Gunicorn起動コマンド / 出力：起動済みWebアプリケーション,本番環境でのWebアプリケーション起動・WSGIサーバーとの連携,インポートエラー・アプリケーション初期化失敗・ポート競合エラーのハンドリング,最小限のオーバーヘッド・高速起動・メモリ効率
コアシステム・アプリケーション基盤,models.py,データベースモデル定義,全データベーステーブルのSQLAlchemyモデル定義・JA情報・CSV財務データ・標準勘定科目・マッピング・残高・分析結果・計算式テーブルを含む,SQLAlchemy ORM + PostgreSQL,JA・CSVData・StandardAccount・AccountMapping・StandardAccountBalance・AnalysisResult・AccountFormula,1.モデルクラス定義→2.テーブル構造定義→3.リレーションシップ設定→4.制約条件設定→5.インデックス作成,入力：Pythonクラス定義 / 出力：データベーステーブル構造・ORMオブジェクト,データベース設計・テーブル関係定義・データ整合性保証・ビジネスルール実装,外部キー制約違反・一意制約違反・データ型エラー・NULL制約エラーのハンドリング,インデックス最適化・クエリ性能向上・メモリ効率的なリレーションシップ
コアシステム・アプリケーション基盤,routes.py,Webルーティング・画面表示制御,Flask Webルーティング定義・メインダッシュボード・勘定科目残高一覧・財務分析画面・JA比較分析・データ管理画面・CSVアップロード処理を含む全画面制御,Flask Routing + Jinja2 Templates,JA・CSVData・StandardAccountBalance,1.HTTPリクエスト受信→2.ルート判定→3.認証チェック→4.ビジネスロジック実行→5.テンプレートレンダリング→6.HTTPレスポンス返却,入力：HTTPリクエスト・フォームデータ / 出力：HTMLレスポンス・リダイレクト・JSONデータ,画面表示制御・ユーザー操作処理・データ表示・フォーム処理・ファイルアップロード,404エラー・500エラー・ファイルアップロードエラー・セッションタイムアウトのハンドリング,テンプレートキャッシュ・静的ファイル最適化・レスポンス圧縮
財務分析・計算エンジン,financial_indicators.py,財務指標計算エンジン,5カテゴリの財務指標計算エンジン・流動性指標・収益性指標・安全性指標・効率性指標・キャッシュフロー指標・前年度比較・リスクスコア算出機能,Python数値計算 + 財務分析理論,StandardAccountBalance・AnalysisResult,1.残高データ取得→2.指標別計算実行→3.前年度データ取得→4.比較分析→5.リスクスコア算出→6.結果保存,入力：JAコード・年度・財務諸表データ / 出力：計算済み財務指標・リスクスコア・比較分析結果,財務理論に基づく指標計算・業界標準との比較・リスク評価・トレンド分析,ゼロ除算エラー・データ不足・計算オーバーフロー・精度誤差のハンドリング,計算処理最適化・メモリ効率的な数値処理・並列計算・キャッシュ活用
財務分析・計算エンジン,risk_analyzer.py,リスクスコア算出・評価分析,カテゴリ別リスクレベル評価・総合リスクスコア計算・業界ベンチマークとの比較・リスク要因特定・改善提案生成・レーダーチャート用データ作成機能,統計分析 + リスク評価理論,AnalysisResult・StandardAccountBalance,1.財務指標データ取得→2.リスクスコア計算→3.カテゴリ別評価→4.総合リスク判定→5.ベンチマーク比較→6.改善提案生成,入力：財務指標データ・業界ベンチマーク / 出力：リスクスコア・評価レポート・改善提案,リスク評価モデル・統計的分析・異常検知・傾向分析・予測分析・意思決定支援,データ不整合・計算エラー・モデル精度低下・異常値処理のハンドリング,高速リスク計算・リアルタイム分析・メモリ効率的な統計処理
財務分析・計算エンジン,account_calculator.py,勘定科目合計値計算,勘定科目の合計値計算エンジン・資産の部合計・負債の部合計・純資産の部合計計算・計算式定義管理・優先度付き計算順序制御機能,計算式エンジン + 勘定体系理論,StandardAccountBalance・AccountFormula,1.計算式定義読み込み→2.依存関係分析→3.計算順序決定→4.階層計算実行→5.合計値算出→6.結果検証,入力：勘定科目残高データ・計算式定義 / 出力：計算済み合計値・階層構造データ,勘定体系に基づく計算・階層構造処理・依存関係管理・計算精度保証,計算式エラー・循環参照・依存関係エラー・計算精度エラーのハンドリング,効率的な階層計算・メモリ最適化・計算キャッシュ
データ処理・インポート,data_processor.py,CSVデータ処理・インポート,CSV財務データの読み込み・データ形式検証・欠損データ処理・データ型変換・エラーレポート生成・JA財務データのインポート処理・データ品質チェック機能,Pandas + CSV処理 + データ検証,CSVData・JA,1.CSVファイル読み込み→2.エンコーディング検出→3.データ形式検証→4.データ変換→5.品質チェック→6.データベース保存,入力：CSVファイル・インポート設定 / 出力：インポート済みデータ・エラーレポート,データ品質管理・形式標準化・重複除去・欠損値処理・データ変換・整合性チェック,ファイル読み込みエラー・エンコーディングエラー・データ形式エラーのハンドリング,大容量ファイル対応・メモリ効率的な処理・並列処理
AI・自動マッピング機能,ai_account_mapper.py,AI支援勘定科目自動マッピング,Azure OpenAI API連携による勘定科目自動マッピング・完全一致マッピング・AI支援マッピング・文字列類似度マッピング・バッチ処理対応・マッピング結果統計機能,Azure OpenAI API + 自然言語処理,CSVData・StandardAccount・AccountMapping,1.未マッピング科目抽出→2.文字列正規化→3.完全一致チェック→4.AIマッピング実行→5.信頼度評価→6.結果保存,入力：未マッピング勘定科目・標準勘定科目マスタ / 出力：マッピング結果・信頼度スコア・処理統計,AIによる自然言語理解・パターン認識・類似度計算・学習データ活用・マッピング精度向上,API接続エラー・認証エラー・レート制限・AI応答エラーのハンドリング,API呼び出し最適化・バッチ処理・キャッシュ活用・並列処理
バックアップ・データ保護,backup_system.py,データバックアップ・リストア,マッピングデータバックアップ・残高データバックアップ・JSON形式での保存・既存データ確認機能・詳細復元レポート・データ整合性チェック・バックアップファイル管理機能,JSON処理 + ファイル操作 + データ保護,AccountMapping・StandardAccountBalance・CSVData,1.バックアップ対象選択→2.データ抽出→3.JSONシリアライズ→4.圧縮・暗号化→5.ファイル保存→6.世代管理,入力：バックアップ対象・設定情報 / 出力：バックアップファイル・検証レポート・管理情報,データ保護・世代管理・整合性保証・復元可能性確保・セキュリティ確保,ファイル書き込みエラー・ディスク容量不足・暗号化エラーのハンドリング,効率的なデータ圧縮・高速バックアップ・最小ディスク使用量
バックアップ・データ保護,backup_api.py,バックアップ機能API,バックアップ作成API・バックアップ一覧取得API・データ復元API・2段階確認プロンプト・エラーハンドリング・RESTful API設計・セキュリティ確認機能,REST API + セキュリティ + 確認プロセス,AccountMapping・StandardAccountBalance,1.APIリクエスト受信→2.認証・承認→3.2段階確認→4.バックアップ処理実行→5.結果検証→6.レスポンス生成,入力：APIリクエスト・認証情報 / 出力：APIレスポンス・処理結果・監査ログ,セキュリティ確保・操作確認・権限管理・監査証跡・データ保護・誤操作防止,認証エラー・権限不足・確認不備・処理失敗のハンドリング,APIレスポンス最適化・セキュリティ処理効率化
API・エンドポイント,api_endpoints.py,REST APIエンドポイント定義,リスクデータ取得API・勘定科目データ取得API・JA比較分析API・キャッシュクリアAPI・レスポンス形式統一・JSON形式データ提供・CORS対応機能,REST API + JSON + CORS,AnalysisResult・StandardAccountBalance・JA,1.APIリクエスト受信→2.パラメータ検証→3.ビジネスロジック実行→4.データ取得・加工→5.JSONレスポンス生成→6.CORSヘッダ設定,入力：HTTPリクエスト・APIパラメータ / 出力：JSONレスポンス・ステータスコード,RESTful設計・データ提供・フォーマット統一・エラー処理・性能最適化・CORS対応,パラメータエラー・データ取得エラー・JSONシリアライズエラーのハンドリング,高速レスポンス・効率的なデータ取得・JSON最適化
テスト・検証,test_ai_mapper.py,AIマッパーテスト,AIマッピング機能の動作テスト・マッピング精度検証・API接続テスト・マッピング結果の妥当性確認・性能テスト機能,テスト自動化 + AI機能検証,AccountMapping・StandardAccount,1.テスト環境準備→2.AIマッピング実行→3.結果検証→4.精度測定→5.性能評価→6.レポート生成,入力：テストデータ・期待結果 / 出力：テスト結果・精度レポート・性能データ,AIマッピング品質保証・精度管理・性能検証・回帰テスト・品質向上,AIテストエラー・精度不足・性能劣化・テスト失敗のハンドリング,高速テスト実行・効率的な検証・自動化テスト
テスト・検証,test_api.py,API機能テスト,REST APIエンドポイントの動作テスト・API応答確認・エラーハンドリングテスト・API性能テスト・レスポンス形式検証機能,API テスト + 機能検証,全モデル,1.APIテスト準備→2.エンドポイント呼び出し→3.レスポンス検証→4.エラーテスト→5.性能測定→6.テストレポート,入力：APIリクエスト・テストケース / 出力：API テスト結果・性能データ・品質レポート,API品質保証・機能検証・性能管理・エラー処理確認・信頼性向上,API テストエラー・接続失敗・レスポンス異常・性能劣化のハンドリング,高速API テスト・効率的な検証・並列テスト実行
初期化・設定,initialize_account_formulas.py,勘定科目計算式初期化,勘定科目計算式の初期設定・階層計算式定義・依存関係設定・計算順序管理・合計科目計算式の自動生成機能,計算式管理 + 初期化処理,AccountFormula・StandardAccount,1.計算式定義読み込み→2.依存関係分析→3.計算順序決定→4.式パラメータ設定→5.データベース保存→6.初期化完了,入力：計算式定義・設定パラメータ / 出力：初期化済み計算式・依存関係データ,計算式システムの初期化・依存関係管理・計算順序制御・式定義管理,計算式エラー・依存関係循環・初期化失敗・データ競合のハンドリング,効率的な初期化・計算式最適化・依存関係処理最適化
初期化・設定,initialize_ja_data.py,JAデータ初期化,JA（農業協同組合）マスタデータの初期化・基本JA情報設定・組織構造初期化・JAコード体系設定・初期データ作成機能,JA マスタ初期化 + 組織管理,JA,1.JA定義読み込み→2.組織構造設定→3.基本情報初期化→4.コード体系設定→5.データベース保存→6.初期化検証,入力：JA定義・組織情報 / 出力：初期化済みJAマスタ・組織構造データ,JAマスタデータ管理・組織構造初期化・コード体系管理・基本情報設定,初期化エラー・データ重複・組織構造エラー・コード競合のハンドリング,効率的なマスタ初期化・組織データ最適化・コード管理最適化
