カテゴリ,ファイル名,主要機能,詳細説明,技術要素,関連モデル,処理フロー,入出力,ビジネスロジック,エラーハンドリング,パフォーマンス考慮
コアシステム・アプリケーション基盤,app.py,Flaskアプリケーション設定・データベース初期化,"Flask WebアプリケーションのメインエントリーポイントでSQLAlchemyデータベース接続・セッション管理・CORS設定・文字列正規化処理を実装。PostgreSQL接続プール設定・セッション暗号化・環境変数による設定管理・文字列正規化イベントリスナー設定・プロキシ設定対応を含む包括的なアプリケーション基盤構築","Flask 2.x + SQLAlchemy 2.x + PostgreSQL + ProxyFix + 文字列正規化ライブラリ",全モデル,"1.環境変数読み込み→2.Flask アプリ初期化→3.データベース接続設定→4.イベントリスナー登録→5.セッション設定→6.アプリケーション起動","入力：環境変数(DATABASE_URL,SESSION_SECRET) / 出力：初期化済みFlaskアプリケーションインスタンス","アプリケーション全体の設定管理・データベース接続管理・セッション管理・セキュリティ設定・文字列データの正規化処理","データベース接続エラー・環境変数未設定・セッション暗号化エラーのハンドリング・接続プール枯渇対策","接続プール最適化・セッション管理効率化・メモリ使用量最適化・プロキシ設定によるパフォーマンス向上"
コアシステム・アプリケーション基盤,main.py,アプリケーションエントリーポイント,"Gunicornサーバー起動時に実行されるメインファイル。app.pyからFlaskインスタンスをインポートしてWebサーバーを起動。本番環境でのWSGI サーバー連携・マルチプロセス対応・ワーカープロセス管理のためのエントリーポイント。開発環境と本番環境の起動方法統一","Gunicorn WSGI Server + Flask Application + Python import system",なし,"1.app.pyインポート→2.Flaskアプリケーション取得→3.Gunicorn ワーカープロセス起動","入力：Gunicorn起動コマンド / 出力：起動済みWebアプリケーション","本番環境でのWebアプリケーション起動・WSGIサーバーとの連携・プロセス管理","インポートエラー・アプリケーション初期化失敗・ポート競合エラーのハンドリング","最小限のオーバーヘッド・高速起動・メモリ効率・マルチプロセス対応"
コアシステム・アプリケーション基盤,models.py,データベースモデル定義,"全データベーステーブルのSQLAlchemyモデル定義。JA情報・CSV財務データ・標準勘定科目・マッピング・残高・分析結果・計算式テーブルを含む。外部キー制約・インデックス設定・バリデーション・カスタムメソッド・クエリ最適化・データ型定義・制約条件・リレーションシップ定義","SQLAlchemy ORM 2.x + PostgreSQL + データ型定義 + 制約管理 + インデックス最適化","JA・CSVData・StandardAccount・AccountMapping・StandardAccountBalance・AnalysisResult・AccountFormula","1.モデルクラス定義→2.テーブル構造定義→3.リレーションシップ設定→4.制約条件設定→5.インデックス作成","入力：Python クラス定義 / 出力：データベーステーブル構造・ORM オブジェクト","データベース設計・テーブル関係定義・データ整合性保証・ビジネスルール実装・CRUD操作最適化","外部キー制約違反・一意制約違反・データ型エラー・NULL制約エラーのハンドリング","インデックス最適化・クエリ性能向上・メモリ効率的なリレーションシップ・バッチ処理対応"
コアシステム・アプリケーション基盤,routes.py,Webルーティング・画面表示制御,"Flask Webルーティング定義。メインダッシュボード・勘定科目残高一覧・財務分析画面・JA比較分析・データ管理画面・CSVアップロード処理を含む全画面制御。リクエスト処理・レスポンス生成・テンプレート レンダリング・セッション管理・エラーページ表示・ファイルアップロード・データ検証","Flask Routing + Jinja2 Templates + Werkzeug + ファイルアップロード + セッション管理",JA・CSVData・StandardAccountBalance,"1.HTTP リクエスト受信→2.ルート判定→3.認証チェック→4.ビジネスロジック実行→5.テンプレート レンダリング→6.HTTP レスポンス返却","入力：HTTP リクエスト・フォームデータ・ファイルアップロード / 出力：HTML レスポンス・リダイレクト・JSON データ","画面表示制御・ユーザー操作処理・データ表示・フォーム処理・ファイルアップロード・セッション管理・ナビゲーション制御","404エラー・500エラー・ファイルアップロードエラー・セッションタイムアウト・認証エラーのハンドリング","テンプレート キャッシュ・静的ファイル最適化・レスポンス圧縮・セッション効率化"
財務分析・計算エンジン,financial_indicators.py,財務指標計算エンジン,"5カテゴリの財務指標計算エンジン。流動性指標（流動比率・当座比率・現金比率）・収益性指標（ROA・ROE・営業利益率）・安全性指標（自己資本比率・負債比率・固定比率）・効率性指標（総資産回転率・売掛金回転率・在庫回転率）・キャッシュフロー指標・前年度比較・リスクスコア算出・業界ベンチマーク比較・計算精度管理","Python数値計算 + 財務分析理論 + 統計処理 + リスク評価アルゴリズム + 前年比較ロジック",StandardAccountBalance・AnalysisResult,"1.残高データ取得→2.指標別計算実行→3.前年度データ取得→4.比較分析→5.リスクスコア算出→6.結果保存→7.分析レポート生成","入力：JA コード・年度・財務諸表データ / 出力：計算済み財務指標・リスクスコア・比較分析結果・分析レポート","財務理論に基づく指標計算・業界標準との比較・リスク評価・トレンド分析・異常値検出・計算精度保証","ゼロ除算エラー・データ不足・計算オーバーフロー・精度誤差・異常値処理のハンドリング","計算処理最適化・メモリ効率的な数値処理・並列計算・キャッシュ活用・バッチ計算対応"
財務分析・計算エンジン,risk_analyzer.py,リスクスコア算出・評価分析,"カテゴリ別リスクレベル評価・総合リスクスコア計算・業界ベンチマークとの比較・リスク要因特定・改善提案生成・レーダーチャート用データ作成・リスク傾向分析・早期警告システム・リスクマトリックス作成・ダッシュボード用リスクサマリー生成","統計分析 + リスク評価理論 + 機械学習アルゴリズム + データ視覚化 + 予測モデル",AnalysisResult・StandardAccountBalance,"1.財務指標データ取得→2.リスクスコア計算→3.カテゴリ別評価→4.総合リスク判定→5.ベンチマーク比較→6.改善提案生成→7.可視化データ作成","入力：財務指標データ・業界ベンチマーク / 出力：リスクスコア・評価レポート・改善提案・可視化データ","リスク評価モデル・統計的分析・異常検知・傾向分析・予測分析・意思決定支援・早期警告","データ不整合・計算エラー・モデル精度低下・異常値・外れ値処理のハンドリング","高速リスク計算・リアルタイム分析・メモリ効率的な統計処理・並列分析処理"
財務分析・計算エンジン,account_calculator.py,勘定科目合計値計算,"勘定科目の合計値計算エンジン。資産の部合計・負債の部合計・純資産の部合計計算・計算式定義管理・優先度付き計算順序制御・StandardAccountBalanceテーブル使用・階層構造対応・複雑な計算式処理・依存関係解決・循環参照チェック・計算結果検証","計算式エンジン + 勘定体系理論 + 階層構造処理 + 依存関係解決アルゴリズム",StandardAccountBalance・AccountFormula,"1.計算式定義読み込み→2.依存関係分析→3.計算順序決定→4.階層計算実行→5.合計値算出→6.結果検証→7.データ保存","入力：勘定科目残高データ・計算式定義 / 出力：計算済み合計値・階層構造データ・検証結果","勘定体系に基づく計算・階層構造処理・依存関係管理・計算精度保証・整合性チェック","計算式エラー・循環参照・依存関係エラー・計算精度エラー・データ不整合のハンドリング","効率的な階層計算・メモリ最適化・計算キャッシュ・依存関係最適化"
データ処理・インポート,data_processor.py,CSVデータ処理・インポート,"CSV財務データの読み込み・データ形式検証・欠損データ処理・データ型変換・エラーレポート生成・JA財務データのインポート処理・データ品質チェック・重複データ処理・エンコーディング検出・大容量ファイル対応・バッチ処理・進捗管理","Pandas + CSV処理 + データ検証 + エンコーディング処理 + 大容量ファイル処理",CSVData・JA,"1.CSV ファイル読み込み→2.エンコーディング検出→3.データ形式検証→4.データ変換→5.品質チェック→6.データベース保存→7.エラーレポート生成","入力：CSV ファイル・インポート設定 / 出力：インポート済みデータ・エラーレポート・処理統計","データ品質管理・形式標準化・重複除去・欠損値処理・データ変換・整合性チェック","ファイル読み込みエラー・エンコーディングエラー・データ形式エラー・メモリ不足のハンドリング","大容量ファイル対応・メモリ効率的な処理・並列処理・進捗表示・中断再開機能"
データ処理・インポート,create_account_balances.py,標準勘定科目残高データ作成,"指定JA・年度の標準勘定科目残高データ生成・財務諸表タイプ別処理（BS・PL・CF）・データ整合性チェック・残高データの自動作成・マッピング結果反映・計算式適用・前年度データ引継ぎ・データ補完・検証処理","データ生成ロジック + 財務諸表理論 + データ整合性チェック + 自動補完",StandardAccountBalance・CSVData・StandardAccount,"1.対象データ特定→2.マッピング情報取得→3.残高データ生成→4.計算式適用→5.整合性チェック→6.データ保存→7.検証レポート出力","入力：JA コード・年度・財務諸表タイプ / 出力：標準勘定科目残高データ・整合性レポート","財務諸表構造に基づくデータ生成・自動マッピング適用・データ補完・整合性保証","データ不整合・マッピング不備・計算エラー・重複データのハンドリング","効率的なデータ生成・バッチ処理・メモリ最適化・処理進捗管理"
AI・自動マッピング機能,ai_account_mapper.py,AI支援勘定科目自動マッピング,"Azure OpenAI API連携による勘定科目自動マッピング・完全一致マッピング・AI支援マッピング（信頼度スコア付き）・文字列類似度マッピング・バッチ処理対応・マッピング結果統計・文字列正規化処理・学習データ管理・精度向上・マッピング履歴管理","Azure OpenAI API + 自然言語処理 + 類似度計算アルゴリズム + 機械学習 + 文字列処理",CSVData・StandardAccount・AccountMapping,"1.未マッピング科目抽出→2.文字列正規化→3.完全一致チェック→4.AI マッピング実行→5.信頼度評価→6.結果保存→7.統計レポート生成","入力：未マッピング勘定科目・標準勘定科目マスタ / 出力：マッピング結果・信頼度スコア・処理統計","AI による自然言語理解・パターン認識・類似度計算・学習データ活用・マッピング精度向上","API接続エラー・認証エラー・レート制限・AI応答エラー・信頼度不足のハンドリング","API呼び出し最適化・バッチ処理・キャッシュ活用・並列処理・レート制限対応"
