code,name,category,financial_statement,account_type,display_order,parent_code,description
10000,資産の部,Assets,bs,BS資産,1,,資産合計
11000,流動資産,Assets,bs,BS資産,2,10000,流動資産合計
11100,現金及び預金,Assets,bs,BS資産,3,11000,現金および預金
11110,現金,Assets,bs,BS資産,4,11100,現金
11120,当座預金,Assets,bs,BS資産,5,11100,当座預金
11130,普通預金,Assets,bs,BS資産,6,11100,普通預金
11140,定期預金,Assets,bs,BS資産,7,11100,定期預金
11150,譲渡性預金,Assets,bs,BS資産,8,11100,譲渡性預金
11160,系統預金,Assets,bs,BS資産,9,11100,系統預金
11170,系統外預金,Assets,bs,BS資産,10,11100,系統外預金
11180,その他預金,Assets,bs,BS資産,11,11100,その他預金
11200,有価証券,Assets,bs,BS資産,12,11000,有価証券
11210,国債,Assets,bs,BS資産,13,11200,国債
11220,地方債,Assets,bs,BS資産,14,11200,地方債
11230,社債,Assets,bs,BS資産,15,11200,社債
11240,株式,Assets,bs,BS資産,16,11200,株式
11250,投資信託,Assets,bs,BS資産,17,11200,投資信託
11260,その他有価証券,Assets,bs,BS資産,18,11200,その他有価証券
11300,貸出金,Assets,bs,BS資産,19,11000,貸出金
11310,組合員貸出金,Assets,bs,BS資産,20,11300,組合員貸出金
11320,組合員以外貸出金,Assets,bs,BS資産,21,11300,組合員以外貸出金
11330,系統貸出金,Assets,bs,BS資産,22,11300,系統貸出金
11340,その他貸出金,Assets,bs,BS資産,23,11300,その他貸出金
11350,貸倒引当金（貸出金）,Assets,bs,BS資産,24,11300,貸倒引当金（貸出金）
11400,販売債権,Assets,bs,BS資産,25,11000,販売債権
11410,販売未収金,Assets,bs,BS資産,26,11400,販売未収金
11420,その他販売債権,Assets,bs,BS資産,27,11400,その他販売債権
11430,貸倒引当金（販売債権）,Assets,bs,BS資産,28,11400,貸倒引当金（販売債権）
11500,経済受託債権,Assets,bs,BS資産,29,11000,経済受託債権
11510,購買未収金,Assets,bs,BS資産,30,11500,購買未収金
11520,その他経済受託債権,Assets,bs,BS資産,31,11500,その他経済受託債権
11530,貸倒引当金（経済受託債権）,Assets,bs,BS資産,32,11500,貸倒引当金（経済受託債権）
11600,棚卸資産,Assets,bs,BS資産,33,11000,棚卸資産
11610,購買品,Assets,bs,BS資産,34,11600,購買品
11620,販売品,Assets,bs,BS資産,35,11600,販売品
11630,加工品,Assets,bs,BS資産,36,11600,加工品
11640,その他棚卸資産,Assets,bs,BS資産,37,11600,その他棚卸資産
11650,棚卸資産評価損引当金,Assets,bs,BS資産,38,11600,棚卸資産評価損引当金
11700,その他流動資産,Assets,bs,BS資産,39,11000,その他流動資産
11710,前払費用,Assets,bs,BS資産,40,11700,前払費用
11720,未収収益,Assets,bs,BS資産,41,11700,未収収益
11730,短期貸付金,Assets,bs,BS資産,42,11700,短期貸付金
11740,仮払金,Assets,bs,BS資産,43,11700,仮払金
11750,その他,Assets,bs,BS資産,44,11700,その他流動資産
12000,固定資産,Assets,bs,BS資産,45,10000,固定資産合計
12100,有形固定資産,Assets,bs,BS資産,46,12000,有形固定資産
12110,建物,Assets,bs,BS資産,47,12100,建物
12120,構築物,Assets,bs,BS資産,48,12100,構築物
12130,機械装置,Assets,bs,BS資産,49,12100,機械装置
12140,器具備品,Assets,bs,BS資産,50,12100,器具備品
12150,土地,Assets,bs,BS資産,51,12100,土地
12160,建設仮勘定,Assets,bs,BS資産,52,12100,建設仮勘定
12170,その他有形固定資産,Assets,bs,BS資産,53,12100,その他有形固定資産
12180,減価償却累計額,Assets,bs,BS資産,54,12100,減価償却累計額
12200,無形固定資産,Assets,bs,BS資産,55,12000,無形固定資産
12210,のれん,Assets,bs,BS資産,56,12200,のれん
12220,借地権,Assets,bs,BS資産,57,12200,借地権
12230,ソフトウェア,Assets,bs,BS資産,58,12200,ソフトウェア
12240,その他無形固定資産,Assets,bs,BS資産,59,12200,その他無形固定資産
12300,外部出資,Assets,bs,BS資産,60,12000,外部出資
12310,系統出資金,Assets,bs,BS資産,61,12300,系統出資金
12320,系統外出資金,Assets,bs,BS資産,62,12300,系統外出資金
12330,子会社出資金,Assets,bs,BS資産,63,12300,子会社出資金
12340,関連会社出資金,Assets,bs,BS資産,64,12300,関連会社出資金
12350,外部出資損失引当金,Assets,bs,BS資産,65,12300,外部出資損失引当金
12400,その他固定資産,Assets,bs,BS資産,66,12000,その他固定資産
12410,長期貸付金,Assets,bs,BS資産,67,12400,長期貸付金
