code,name,category,financial_statement,account_type,display_order,parent_code,description
9000,営業活動によるキャッシュ・フロー,CashFlow,cf,CF営業,1,,営業活動によるキャッシュ・フロー
9100,税引前当期純利益,CashFlow,cf,CF営業,2,9000,税引前当期純利益
9110,減価償却費,CashFlow,cf,CF営業,3,9000,減価償却費
9120,減損損失,CashFlow,cf,CF営業,4,9000,減損損失
9130,貸倒引当金の増減額,CashFlow,cf,CF営業,5,9000,貸倒引当金の増減額
9140,退職給付引当金の増減額,CashFlow,cf,CF営業,6,9000,退職給付引当金の増減額
9150,役員退職慰労引当金の増減額,CashFlow,cf,CF営業,7,9000,役員退職慰労引当金の増減額
9160,賞与引当金の増減額,CashFlow,cf,CF営業,8,9000,賞与引当金の増減額
9170,受取利息及び受取配当金,CashFlow,cf,CF営業,9,9000,受取利息及び受取配当金
9180,支払利息,CashFlow,cf,CF営業,10,9000,支払利息
9190,有価証券関係損益,CashFlow,cf,CF営業,11,9000,有価証券関係損益
9200,固定資産処分損益,CashFlow,cf,CF営業,12,9000,固定資産処分損益
9210,貸出金の純増減,CashFlow,cf,CF営業,13,9000,貸出金の純増減
9220,預金の純増減,CashFlow,cf,CF営業,14,9000,預金の純増減
9230,貯金の純増減,CashFlow,cf,CF営業,15,9000,貯金の純増減
9240,借入金の純増減,CashFlow,cf,CF営業,16,9000,借入金の純増減
9250,預け金の純増減,CashFlow,cf,CF営業,17,9000,預け金の純増減
9260,コールローン等の純増減,CashFlow,cf,CF営業,18,9000,コールローン等の純増減
9270,コールマネー等の純増減,CashFlow,cf,CF営業,19,9000,コールマネー等の純増減
9280,外部出資の純増減,CashFlow,cf,CF営業,20,9000,外部出資の純増減
9290,買入金銭債権の純増減,CashFlow,cf,CF営業,21,9000,買入金銭債権の純増減
9300,売渡金銭債権の純増減,CashFlow,cf,CF営業,22,9000,売渡金銭債権の純増減
9310,その他,CashFlow,cf,CF営業,23,9000,その他営業活動キャッシュフロー
9320,小計,CashFlow,cf,CF営業,24,9000,営業活動キャッシュフロー小計
9330,利息及び配当金の受取額,CashFlow,cf,CF営業,25,9000,利息及び配当金の受取額
9340,利息の支払額,CashFlow,cf,CF営業,26,9000,利息の支払額
9350,法人税等の支払額,CashFlow,cf,CF営業,27,9000,法人税等の支払額
9360,営業活動によるキャッシュ・フロー合計,CashFlow,cf,CF営業,28,9000,営業活動によるキャッシュ・フロー合計
9400,投資活動によるキャッシュ・フロー,CashFlow,cf,CF投資,29,,投資活動によるキャッシュ・フロー
9410,有価証券の取得による支出,CashFlow,cf,CF投資,30,9400,有価証券の取得による支出
9420,有価証券の売却による収入,CashFlow,cf,CF投資,31,9400,有価証券の売却による収入
9430,有価証券の償還による収入,CashFlow,cf,CF投資,32,9400,有価証券の償還による収入
9440,固定資産の取得による支出,CashFlow,cf,CF投資,33,9400,固定資産の取得による支出
9450,固定資産の売却による収入,CashFlow,cf,CF投資,34,9400,固定資産の売却による収入
9460,その他,CashFlow,cf,CF投資,35,9400,その他投資活動キャッシュフロー
9470,投資活動によるキャッシュ・フロー合計,CashFlow,cf,CF投資,36,9400,投資活動によるキャッシュ・フロー合計
9500,財務活動によるキャッシュ・フロー,CashFlow,cf,CF財務,37,,財務活動によるキャッシュ・フロー
9510,出資の増額による収入,CashFlow,cf,CF財務,38,9500,出資の増額による収入
9520,出資の払戻による支出,CashFlow,cf,CF財務,39,9500,出資の払戻による支出
9530,持分の譲渡による収入,CashFlow,cf,CF財務,40,9500,持分の譲渡による収入
9540,持分の譲受による支出,CashFlow,cf,CF財務,41,9500,持分の譲受による支出
9550,配当金の支払額,CashFlow,cf,CF財務,42,9500,配当金の支払額
9560,少数株主への配当金の支払額,CashFlow,cf,CF財務,43,9500,少数株主への配当金の支払額
9570,劣後特約付借入れによる収入,CashFlow,cf,CF財務,44,9500,劣後特約付借入れによる収入
9580,劣後特約付借入金の返済による支出,CashFlow,cf,CF財務,45,9500,劣後特約付借入金の返済による支出
9590,劣後特約付社債の発行による収入,CashFlow,cf,CF財務,46,9500,劣後特約付社債の発行による収入
9600,劣後特約付社債の償還による支出,CashFlow,cf,CF財務,47,9500,劣後特約付社債の償還による支出
9610,その他,CashFlow,cf,CF財務,48,9500,その他財務活動キャッシュフロー
9620,財務活動によるキャッシュ・フロー合計,CashFlow,cf,CF財務,49,9500,財務活動によるキャッシュ・フロー合計
9700,現金及び現金同等物に係る換算差額,CashFlow,cf,CF換算,50,,現金及び現金同等物に係る換算差額
9800,現金及び現金同等物の増減額,CashFlow,cf,CF増減,51,,現金及び現金同等物の増減額
9900,現金及び現金同等物の期首残高,CashFlow,cf,CF期首,52,,現金及び現金同等物の期首残高
9950,現金及び現金同等物の期末残高,CashFlow,cf,CF期末,53,,現金及び現金同等物の期末残高
