code,name,category,financial_statement,account_type,display_order,parent_code,description
5000,事業総利益,Income,pl,PL収益,1,,事業総利益
5100,信用事業収益,Income,pl,PL収益,2,5000,信用事業収益
5110,資金運用収益,Income,pl,PL収益,3,5100,資金運用収益
5120,役務取引等収益,Income,pl,PL収益,4,5100,役務取引等収益
5130,その他信用事業収益,Income,pl,PL収益,5,5100,その他信用事業収益
5200,信用事業費用,Expense,pl,PL費用,6,5000,信用事業費用
5210,資金調達費用,Expense,pl,PL費用,7,5200,資金調達費用
5220,役務取引等費用,Expense,pl,PL費用,8,5200,役務取引等費用
5230,その他信用事業費用,Expense,pl,PL費用,9,5200,その他信用事業費用
5300,信用事業総利益,Income,pl,PL収益,10,5000,信用事業総利益
5400,共済事業収益,Income,pl,PL収益,11,5000,共済事業収益
5410,共済付加収入,Income,pl,PL収益,12,5400,共済付加収入
5420,共済貸付金利息,Income,pl,PL収益,13,5400,共済貸付金利息
5430,その他共済事業収益,Income,pl,PL収益,14,5400,その他共済事業収益
5500,共済事業費用,Expense,pl,PL費用,15,5000,共済事業費用
5510,共済推進費,Expense,pl,PL費用,16,5500,共済推進費
5520,共済保全費,Expense,pl,PL費用,17,5500,共済保全費
5530,その他共済事業費用,Expense,pl,PL費用,18,5500,その他共済事業費用
5600,共済事業総利益,Income,pl,PL収益,19,5000,共済事業総利益
5700,購買事業収益,Income,pl,PL収益,20,5000,購買事業収益
5710,購買品供給高,Income,pl,PL収益,21,5700,購買品供給高
5720,その他購買事業収益,Income,pl,PL収益,22,5700,その他購買事業収益
5800,購買事業費用,Expense,pl,PL費用,23,5000,購買事業費用
5810,購買品供給原価,Expense,pl,PL費用,24,5800,購買品供給原価
5820,購買品供給費,Expense,pl,PL費用,25,5800,購買品供給費
5830,その他購買事業費用,Expense,pl,PL費用,26,5800,その他購買事業費用
5900,購買事業総利益,Income,pl,PL収益,27,5000,購買事業総利益
6000,販売事業収益,Income,pl,PL収益,28,5000,販売事業収益
6010,販売品販売高,Income,pl,PL収益,29,6000,販売品販売高
6020,販売手数料,Income,pl,PL収益,30,6000,販売手数料
6030,その他販売事業収益,Income,pl,PL収益,31,6000,その他販売事業収益
6100,販売事業費用,Expense,pl,PL費用,32,5000,販売事業費用
6110,販売品販売原価,Expense,pl,PL費用,33,6100,販売品販売原価
6120,販売費,Expense,pl,PL費用,34,6100,販売費
6130,その他販売事業費用,Expense,pl,PL費用,35,6100,その他販売事業費用
6200,販売事業総利益,Income,pl,PL収益,36,5000,販売事業総利益
6300,その他事業収益,Income,pl,PL収益,37,5000,その他事業収益
6310,加工事業収益,Income,pl,PL収益,38,6300,加工事業収益
6320,利用事業収益,Income,pl,PL収益,39,6300,利用事業収益
6330,農業経営事業収益,Income,pl,PL収益,40,6300,農業経営事業収益
6340,その他事業収益,Income,pl,PL収益,41,6300,その他事業収益
6400,その他事業費用,Expense,pl,PL費用,42,5000,その他事業費用
6410,加工事業費用,Expense,pl,PL費用,43,6400,加工事業費用
6420,利用事業費用,Expense,pl,PL費用,44,6400,利用事業費用
6430,農業経営事業費用,Expense,pl,PL費用,45,6400,農業経営事業費用
6440,その他事業費用,Expense,pl,PL費用,46,6400,その他事業費用
6500,その他事業総利益,Income,pl,PL収益,47,5000,その他事業総利益
7000,事業管理費,Expense,pl,PL費用,48,5000,事業管理費
7100,人件費,Expense,pl,PL費用,49,7000,人件費
7110,役員報酬,Expense,pl,PL費用,50,7100,役員報酬
7120,給料,Expense,pl,PL費用,51,7100,給料
7130,諸手当,Expense,pl,PL費用,52,7100,諸手当
7140,退職給付費用,Expense,pl,PL費用,53,7100,退職給付費用
7150,福利厚生費,Expense,pl,PL費用,54,7100,福利厚生費
7200,業務費,Expense,pl,PL費用,55,7000,業務費
7210,旅費,Expense,pl,PL費用,56,7200,旅費
7220,通信費,Expense,pl,PL費用,57,7200,通信費
7230,印刷費,Expense,pl,PL費用,58,7200,印刷費
7240,広告宣伝費,Expense,pl,PL費用,59,7200,広告宣伝費
7250,諸会費,Expense,pl,PL費用,60,7200,諸会費
7260,教育情報費,Expense,pl,PL費用,61,7200,教育情報費
7300,経費,Expense,pl,PL費用,62,7000,経費
7310,土地建物賃借料,Expense,pl,PL費用,63,7300,土地建物賃借料
7320,機械賃借料,Expense,pl,PL費用,64,7300,機械賃借料
7330,修繕費,Expense,pl,PL費用,65,7300,修繕費
7340,消耗品費,Expense,pl,PL費用,66,7300,消耗品費
7350,動力光熱費,Expense,pl,PL費用,67,7300,動力光熱費
7360,保管料,Expense,pl,PL費用,68,7300,保管料
7370,保険料,Expense,pl,PL費用,69,7300,保険料
7380,租税公課,Expense,pl,PL費用,70,7300,租税公課
7390,事業税,Expense,pl,PL費用,71,7300,事業税
7400,減価償却費,Expense,pl,PL費用,72,7000,減価償却費
7500,貸付金償却,Expense,pl,PL費用,73,7000,貸付金償却
7600,給与停止相当額,Expense,pl,PL費用,74,7000,給与停止相当額
7700,雑費,Expense,pl,PL費用,75,7000,雑費
8000,事業利益,Income,pl,PL収益,76,,事業利益
8100,事業外収益,Income,pl,PL収益,77,8000,事業外収益
8110,受取雑利息,Income,pl,PL収益,78,8100,受取雑利息
8120,有価証券利息,Income,pl,PL収益,79,8100,有価証券利息
8130,出資配当金,Income,pl,PL収益,80,8100,出資配当金
8140,賃貸料,Income,pl,PL収益,81,8100,賃貸料
8150,貸倒引当金戻入益,Income,pl,PL収益,82,8100,貸倒引当金戻入益
8160,雑収入,Income,pl,PL収益,83,8100,雑収入
