code,name,category,financial_statement,account_type,display_order,parent_code,description
40000,事業収益,Income,pl,PL収益,1,,事業収益合計
41000,信用事業収益,Income,pl,PL収益,2,40000,信用事業収益
41100,資金運用収益,Income,pl,PL収益,3,41000,資金運用収益
41110,貸出金利息,Income,pl,PL収益,4,41100,貸出金利息
41120,預金利息,Income,pl,PL収益,5,41100,預金利息
41130,有価証券利息配当金,Income,pl,PL収益,6,41100,有価証券利息配当金
41140,その他資金運用収益,Income,pl,PL収益,7,41100,その他資金運用収益
41200,役務取引等収益,Income,pl,PL収益,8,41000,役務取引等収益
41210,受入手数料,Income,pl,PL収益,9,41200,受入手数料
41220,その他役務取引等収益,Income,pl,PL収益,10,41200,その他役務取引等収益
41300,その他信用事業収益,Income,pl,PL収益,11,41000,その他信用事業収益
42000,共済事業収益,Income,pl,PL収益,12,40000,共済事業収益
42100,共済付加収入,Income,pl,PL収益,13,42000,共済付加収入
42200,共済保全収入,Income,pl,PL収益,14,42000,共済保全収入
42300,その他共済事業収益,Income,pl,PL収益,15,42000,その他共済事業収益
43000,経済事業収益,Income,pl,PL収益,16,40000,経済事業収益
43100,購買事業収益,Income,pl,PL収益,17,43000,購買事業収益
43110,生産資材供給高,Income,pl,PL収益,18,43100,生産資材供給高
43120,生活資材供給高,Income,pl,PL収益,19,43100,生活資材供給高
43130,その他購買事業収益,Income,pl,PL収益,20,43100,その他購買事業収益
43200,販売事業収益,Income,pl,PL収益,21,43000,販売事業収益
43210,販売品販売高,Income,pl,PL収益,22,43200,販売品販売高
43220,販売手数料,Income,pl,PL収益,23,43200,販売手数料
43230,その他販売事業収益,Income,pl,PL収益,24,43200,その他販売事業収益
43300,加工事業収益,Income,pl,PL収益,25,43000,加工事業収益
43400,利用事業収益,Income,pl,PL収益,26,43000,利用事業収益
43500,その他経済事業収益,Income,pl,PL収益,27,43000,その他経済事業収益
44000,指導事業収益,Income,pl,PL収益,28,40000,指導事業収益
44100,指導事業付加収入,Income,pl,PL収益,29,44000,指導事業付加収入
44200,補助金等収入,Income,pl,PL収益,30,44000,補助金等収入
44300,その他指導事業収益,Income,pl,PL収益,31,44000,その他指導事業収益
45000,その他事業収益,Income,pl,PL収益,32,40000,その他事業収益
45100,受託事業収益,Income,pl,PL収益,33,45000,受託事業収益
45200,宅地等供給事業収益,Income,pl,PL収益,34,45000,宅地等供給事業収益
45300,福祉事業収益,Income,pl,PL収益,35,45000,福祉事業収益
45400,その他事業収益,Income,pl,PL収益,36,45000,その他事業収益
50000,事業費用,Expense,pl,PL費用,37,,事業費用合計
51000,信用事業費用,Expense,pl,PL費用,38,50000,信用事業費用
51100,資金調達費用,Expense,pl,PL費用,39,51000,資金調達費用
51110,貯金利息,Expense,pl,PL費用,40,51100,貯金利息
51120,借入金利息,Expense,pl,PL費用,41,51100,借入金利息
51130,その他資金調達費用,Expense,pl,PL費用,42,51100,その他資金調達費用
